A,B
"Polygon ((100.41474895 38.56695985, 100.41473914 38.56694909, 100.41454361 38.56708366, 100.41429137 38.56722399, 100.41415572 38.5673038, 100.41437444 38.56749754, 100.41453517 38.56763209, 100.41467592 38.56776623, 100.41479156 38.56785779, 100.41485483 38.56791065, 100.41490644 38.56791121, 100.41496605 38.56785449, 100.41502723 38.56780131, 100.41525827 38.56762069, 100.41520443 38.56752348, 100.4151225 38.56743832, 100.41511332 38.56742877, 100.4150604 38.56733075, 100.41500568 38.56728597, 100.41498635 38.56727015, 100.41496223 38.56715461, 100.41492448 38.56711364, 100.41491012 38.56709804, 100.41481882 38.56699333, 100.41474895 38.56695985))",21
"Polygon ((100.41219768 38.56770584, 100.41216312 38.56749174, 100.41194201 38.5676184, 100.4116256 38.56781527, 100.41161973 38.56782606, 100.41162664 38.56786888, 100.41174571 38.56798065, 100.41186445 38.56792083, 100.41219768 38.56770584))",22
"Polygon ((100.41781377 38.56770934, 100.41774317 38.56766968, 100.4176753 38.56769195, 100.41771656 38.56772164, 100.41778735 38.56777083, 100.41789273 38.56786568, 100.41801661 38.56791304, 100.41808737 38.56788358, 100.41781377 38.56770934))",23
"Polygon ((100.40847397 38.56817281, 100.40856926 38.56808451, 100.40856263 38.56805599, 100.4085511 38.56800965, 100.40852906 38.5679694, 100.40850352 38.56798282, 100.40844814 38.56802281, 100.40834945 38.56809907, 100.408301 38.56813651, 100.40833733 38.56817159, 100.40837544 38.56816398, 100.40842342 38.56819629, 100.40847397 38.56817281))",24
"Polygon ((100.41455779 38.56771363, 100.41449135 38.56766963, 100.41448935 38.56767102, 100.41446765 38.56763751, 100.41444272 38.56760444, 100.4143747 38.56754139, 100.4143441 38.56752936, 100.41434233 38.56750079, 100.41426607 38.56745118, 100.41413262 38.56733363, 100.41407103 38.56728861, 100.41390826 38.56740975, 100.41375099 38.56752812, 100.41372691 38.56751204, 100.41394337 38.56734259, 100.41405412 38.5672626, 100.41402611 38.56722719, 100.41389637 38.56711317, 100.41377035 38.56718857, 100.41344848 38.56741418, 100.41363798 38.56758449, 100.41359297 38.56762117, 100.41365869 38.56770113, 100.4138255 38.56784807, 100.41385156 38.56787375, 100.41398801 38.56800818, 100.4140006 38.56802053, 100.41412056 38.56813825, 100.41417585 38.56811388, 100.41417083 38.56810974, 100.41429073 38.56802765, 100.41436859 38.56797332, 100.41448636 38.56789197, 100.41457226 38.56783263, 100.41463309 38.5677766, 100.41459228 38.56773896, 100.41455779 38.56771363))",25
"Polygon ((100.41112018 38.56758422, 100.41096849 38.56749671, 100.41096239 38.56750153, 100.41088858 38.56757678, 100.41113089 38.56784962, 100.41112952 38.56785049, 100.41138119 38.56812532, 100.41144332 38.56818663, 100.41169521 38.56803727, 100.41153501 38.56791765, 100.41138821 38.56778477, 100.41129037 38.567749, 100.41125425 38.56768747, 100.4112032 38.56763804, 100.41112018 38.56758422))",26
"Polygon ((100.41308555 38.56790377, 100.41340206 38.56771167, 100.41342637 38.56769742, 100.41353865 38.5676316, 100.41343032 38.56752732, 100.41336455 38.56748352, 100.41325805 38.56756366, 100.41312515 38.56765964, 100.41288931 38.56781657, 100.41284182 38.56784739, 100.41283783 38.56782327, 100.413084 38.56765156, 100.41317137 38.56758663, 100.41334174 38.56746833, 100.41322045 38.56735158, 100.41312925 38.56728309, 100.41312041 38.56727324, 100.41304112 38.56718501, 100.41291262 38.56707216, 100.4129062 38.56706552, 100.41285065 38.56700808, 100.41276092 38.56693751, 100.41273843 38.56691982, 100.41266768 38.56684155, 100.41262041 38.56679635, 100.4125328 38.56671257, 100.41242558 38.56663188, 100.41236398 38.56663024, 100.41234283 38.5665733, 100.41228778 38.56655251, 100.41232115 38.56676804, 100.4123414 38.56696513, 100.41234251 38.56697996, 100.41235582 38.56715629, 100.41239637 38.56736649, 100.41239567 38.56742743, 100.41239547 38.56744467, 100.41245618 38.56769276, 100.41245687 38.56770839, 100.41261809 38.56760455, 100.41284705 38.56745708, 100.41287505 38.56748006, 100.4126591 38.56762523, 100.41245981 38.56776118, 100.41246653 38.56784898, 100.41249751 38.56806692, 100.41250939 38.56823932, 100.41258153 38.56820896, 100.41268657 38.56814692, 100.41276503 38.56809824, 100.41276648 38.56809734, 100.41278254 38.56808737, 100.41298353 38.56796459, 100.41301585 38.56794532, 100.41308555 38.56790377))",27
"Polygon ((100.41111437 38.56786004, 100.41087124 38.56758548, 100.41072504 38.56765883, 100.41067277 38.56768872, 100.41093005 38.56798143, 100.41106489 38.568124, 100.41123856 38.56831138, 100.41142155 38.56819954, 100.41129827 38.56806329, 100.41111437 38.56786004))",28
"Polygon ((100.40866623 38.56823111, 100.4086762 38.56819762, 100.4086709 38.56815955, 100.40865522 38.56813352, 100.40863654 38.56810992, 100.40861056 38.56810069, 100.40860184 38.56809728, 100.40859895 38.56809614, 100.40845292 38.56821453, 100.40843855 38.56822471, 100.4083835 38.56820392, 100.40835787 38.56819708, 100.40835675 38.56823285, 100.40834831 38.56826727, 100.40846331 38.56837899, 100.40848669 38.56836435, 100.40851652 38.56833777, 100.40856126 38.56829672, 100.40857331 38.56829181, 100.40858379 38.56828453, 100.40862283 38.56826261, 100.40866623 38.56823111))",29
"Polygon ((100.41909756 38.56815265, 100.41905707 38.5681007, 100.41903901 38.56808074, 100.41902294 38.56806298, 100.41892642 38.56794022, 100.41882002 38.56783492, 100.41875302 38.56779672, 100.41868002 38.5677551, 100.41857345 38.56770778, 100.41856162 38.567707, 100.41853697 38.56770536, 100.4184625 38.56762332, 100.41839232 38.56757412, 100.41831971 38.56758644, 100.41824928 38.56761733, 100.41825348 38.56764588, 100.41825435 38.5676902, 100.41823685 38.56772616, 100.41825749 38.56775737, 100.41828414 38.56781567, 100.41834838 38.56784063, 100.41837539 38.56786224, 100.41842056 38.56789839, 100.41850701 38.56794167, 100.41854257 38.56798986, 100.41858894 38.5680322, 100.41871435 38.56811678, 100.41877573 38.56815059, 100.41883692 38.56817487, 100.41891513 38.56813817, 100.41892921 38.56815945, 100.41893769 38.56820463, 100.41896703 38.56823049, 100.41899935 38.56825274, 100.4190774 38.56828516, 100.41911942 38.56826082, 100.4191153 38.56820605, 100.41909756 38.56815265))",30
