A,B
"Polygon ((100.40699762 38.57205468, 100.4068929 38.57191579, 100.40686304 38.57187897, 100.4067782 38.5719186, 100.40677207 38.57180981, 100.40674179 38.57179511, 100.40664325 38.57172384, 100.40663446 38.57172888, 100.40662095 38.57165676, 100.4066045 38.57162691, 100.40630027 38.5718205, 100.40628728 38.57180747, 100.40660863 38.57159924, 100.40660165 38.57158325, 100.40650476 38.57147192, 100.40650296 38.57146303, 100.40633943 38.57157653, 100.40615913 38.57169361, 100.40614312 38.571679, 100.40615858 38.5716684, 100.4063215 38.57156247, 100.40649965 38.57144664, 100.40649401 38.57141866, 100.40640666 38.57131616, 100.40621312 38.57144541, 100.40608307 38.57153227, 100.40599149 38.57158461, 100.40596918 38.57159997, 100.40583722 38.57146814, 100.40580508 38.57143634, 100.40575844 38.5713797, 100.40572519 38.57135579, 100.4056872 38.57136912, 100.40557377 38.57125036, 100.40548761 38.57131574, 100.40542472 38.57133254, 100.40545495 38.57131459, 100.40546153 38.57128869, 100.40556053 38.57122792, 100.40569659 38.57112142, 100.40576995 38.57106929, 100.405836 38.57103156, 100.40587684 38.57102392, 100.40559626 38.57124377, 100.4057 38.57134858, 100.40599941 38.57113407, 100.40615703 38.5710212, 100.40613356 38.570994, 100.40604051 38.57090002, 100.40598244 38.57084137, 100.40591673 38.57077673, 100.40580651 38.57084244, 100.40563235 38.57094106, 100.40540235 38.57105583, 100.40529875 38.57111428, 100.40526284 38.57114092, 100.40506129 38.57123629, 100.40495482 38.57114701, 100.40490716 38.57119405, 100.40468276 38.5713637, 100.40480329 38.57150749, 100.40483041 38.57153984, 100.40489748 38.57161575, 100.40498252 38.571712, 100.40506133 38.57178398, 100.40515252 38.57186725, 100.40517652 38.57185267, 100.40520968 38.57184035, 100.40526099 38.57182544, 100.40528326 38.57183066, 100.40531894 38.57183904, 100.40534149 38.5719055, 100.40535881 38.57197842, 100.40536464 38.57200294, 100.40546715 38.57212304, 100.40582067 38.57189884, 100.40583116 38.57190801, 100.40575999 38.57195395, 100.40547338 38.57213033, 100.4055605 38.57223892, 100.40555995 38.57225525, 100.40564373 38.57223877, 100.40578441 38.57216701, 100.40597119 38.57203034, 100.40598514 38.57204255, 100.40596388 38.57205753, 100.40564669 38.57226114, 100.40555947 38.5722696, 100.40555858 38.57229614, 100.40567937 38.57241862, 100.40581267 38.57256002, 100.40589736 38.57269962, 100.40590764 38.57271293, 100.40602009 38.57276334, 100.40603309 38.57277606, 100.40609607 38.57273669, 100.40618966 38.57267837, 100.40632482 38.57260381, 100.40681495 38.57233051, 100.40697732 38.57224746, 100.407044 38.57221336, 100.4070829 38.57216438, 100.40699762 38.57205468))",152
"Polygon ((100.42816216 38.57234879, 100.42810886 38.57232513, 100.42806635 38.57232605, 100.42801874 38.57231377, 100.4279366 38.57230476, 100.42788165 38.5722897, 100.42784862 38.57227723, 100.42778516 38.57229231, 100.42775571 38.57227693, 100.42766481 38.57225333, 100.4276271 38.57228096, 100.42763677 38.57230944, 100.42767715 38.57232468, 100.4276955 38.5723316, 100.42771406 38.57233066, 100.42771719 38.57234672, 100.42775 38.57237021, 100.42780773 38.57240385, 100.427984 38.57246741, 100.42811015 38.57249724, 100.42819588 38.57250366, 100.42830823 38.57250975, 100.42829819 38.57248299, 100.42822459 38.57241669, 100.42816352 38.57241741, 100.4281829 38.57238429, 100.42816216 38.57234879))",153
"Polygon ((100.41867095 38.57209414, 100.41865897 38.57202517, 100.41864132 38.57199249, 100.41863213 38.57195733, 100.41861481 38.57187937, 100.41858785 38.57180533, 100.41855657 38.57178152, 100.41854347 38.57177155, 100.41851964 38.57173276, 100.41848287 38.57165407, 100.41846346 38.5715933, 100.41845828 38.57158695, 100.41843401 38.57162803, 100.41833025 38.57172367, 100.41834555 38.57176066, 100.41838209 38.57185889, 100.41839204 38.57190167, 100.41845113 38.57194242, 100.41850229 38.57195038, 100.41850831 38.57197891, 100.41858811 38.57205373, 100.41853942 38.57207863, 100.41850938 38.57203324, 100.41847217 38.57199365, 100.41845006 38.57198105, 100.41840983 38.57197295, 100.41835649 38.57194643, 100.41833858 38.57186943, 100.41833056 38.57183235, 100.41829473 38.57176986, 100.41827547 38.57171718, 100.4182528 38.57167599, 100.41821167 38.57162215, 100.41818721 38.5715824, 100.41815448 38.57149271, 100.41811097 38.5714103, 100.41807983 38.57132616, 100.41803705 38.57137387, 100.417936 38.57151523, 100.41785131 38.57165496, 100.41774598 38.57176349, 100.41776495 38.57178486, 100.41782931 38.57181554, 100.41786739 38.5718065, 100.41784464 38.57185396, 100.41788353 38.57188638, 100.41792225 38.57191022, 100.41795685 38.5719098, 100.41795932 38.57194266, 100.41795985 38.57196983, 100.4179861 38.57200812, 100.41805074 38.57205309, 100.41808714 38.57205122, 100.41809572 38.5721169, 100.41814021 38.5721564, 100.41819554 38.57219148, 100.41821275 38.57223274, 100.41824794 38.57226234, 100.41829602 38.57229894, 100.41834595 38.57233694, 100.41837585 38.57237519, 100.41842796 38.57243176, 100.41849064 38.57246961, 100.41853598 38.57254499, 100.41860286 38.5726184, 100.41863257 38.57264722, 100.41874213 38.57256809, 100.41881525 38.57248856, 100.41880358 38.57235857, 100.41878063 38.57230308, 100.41871488 38.57224376, 100.41869767 38.57221775, 100.41867046 38.57214658, 100.41867067 38.57212438, 100.41867095 38.57209414))",154
"Polygon ((100.40923862 38.57247663, 100.40952807 38.57231282, 100.40960804 38.5722856, 100.40970151 38.57222156, 100.40972157 38.57221053, 100.40981325 38.57216015, 100.40996788 38.57205676, 100.41007466 38.57202115, 100.41017922 38.57196539, 100.41020498 38.57196495, 100.41026492 38.57194512, 100.41018957 38.57188039, 100.41012896 38.57181215, 100.41008093 38.57183116, 100.410027 38.57175749, 100.41000268 38.57173494, 100.41002393 38.57171473, 100.40991429 38.57160844, 100.40979478 38.57169462, 100.40958359 38.57183453, 100.40940048 38.57195306, 100.40916251 38.57211369, 100.40893181 38.57226301, 100.40884318 38.57232192, 100.40882503 38.57230103, 100.40904969 38.57214579, 100.40911781 38.57210222, 100.40938746 38.57193474, 100.4094782 38.57187489, 100.40970048 38.57172826, 100.40984579 38.57163447, 100.40990707 38.57159491, 100.40977352 38.57145154, 100.40973135 38.57147303, 100.40975509 38.57143518, 100.40963751 38.57133891, 100.40949882 38.57120139, 100.40932807 38.57103948, 100.40918051 38.57087138, 100.40912133 38.57085328, 100.40896463 38.57097491, 100.40881126 38.57106477, 100.40840361 38.57133279, 100.40806898 38.57155034, 100.40783509 38.57170966, 100.40791861 38.57184433, 100.40795284 38.57190262, 100.4079604 38.57191311, 100.40808408 38.57184426, 100.40822567 38.57175115, 100.40826093 38.57173492, 100.4082118 38.57179365, 100.40827591 38.57186823, 100.40835939 38.57195777, 100.40856445 38.57183971, 100.40870331 38.57195482, 100.40866892 38.57197604, 100.40862083 38.57191454, 100.40856376 38.57186498, 100.40836712 38.57198146, 100.40826885 38.57204843, 100.40816975 38.57210494, 100.40816316 38.57214077, 100.4082506 38.5722341, 100.40825087 38.57225164, 100.40825424 38.57229875, 100.40827686 38.57232735, 100.40832167 38.57236241, 100.40836156 38.57241294, 100.40838324 38.57249705, 100.40843339 38.57254649, 100.40853713 38.57270535, 100.40857609 38.572765, 100.40857876 38.57277395, 100.40873929 38.57272986, 100.40884917 38.57268207, 100.40906448 38.57259248, 100.4091063 38.57255742, 100.40924009 38.57249027, 100.40923862 38.57247663),(100.40861083 38.57166624, 100.40852442 38.57157803, 100.4086034 38.57165811, 100.40861083 38.57166624))",155
"Polygon ((100.41157291 38.57162137, 100.41149281 38.57143787, 100.41151772 38.57140754, 100.41160281 38.57138077, 100.41166165 38.57122276, 100.41162122 38.57111171, 100.4115754 38.57107296, 100.41152121 38.57102712, 100.4114424 38.57090938, 100.41143376 38.57088095, 100.41141514 38.57081962, 100.41138858 38.57067265, 100.41133804 38.57060319, 100.41119152 38.57046911, 100.41100704 38.57034978, 100.41090201 38.57028813, 100.41084496 38.57031499, 100.41089754 38.57037015, 100.41092518 38.57041748, 100.41095058 38.57047437, 100.41099522 38.5705215, 100.41107497 38.57062541, 100.41116552 38.57066054, 100.41114404 38.57067987, 100.41116671 38.57072154, 100.41121067 38.57085829, 100.41123185 38.57094765, 100.41125202 38.57098553, 100.4112627 38.57103498, 100.41135433 38.57112539, 100.4113599 38.57116155, 100.41140805 38.57126393, 100.41145155 38.57142684, 100.411433 38.57142188, 100.41139161 38.57141666, 100.41133023 38.57150702, 100.41128619 38.57149039, 100.41124483 38.57148707, 100.41130434 38.57142534, 100.41136367 38.57135408, 100.41135478 38.5712722, 100.41129938 38.57117182, 100.41116757 38.57095176, 100.41110237 38.5708418, 100.41105832 38.57076249, 100.41097034 38.57062949, 100.4108903 38.57057325, 100.410665 38.57069513, 100.41031035 38.57087816, 100.41000375 38.57103438, 100.40991413 38.57107226, 100.40978729 38.57114529, 100.40976313 38.5711655, 100.40969394 38.57120319, 100.40962156 38.57124263, 100.40977616 38.571398, 100.40978648 38.57140764, 100.40993943 38.57155047, 100.40995144 38.5715626, 100.41019027 38.57146117, 100.41032382 38.5713922, 100.41073278 38.57119184, 100.41083955 38.5711405, 100.41091519 38.57111728, 100.41045966 38.57135783, 100.41008456 38.57155111, 100.4099818 38.5715933, 100.41013517 38.57174831, 100.41015437 38.57176649, 100.41032818 38.57193093, 100.4103531 38.57195627, 100.41041513 38.57201934, 100.41055615 38.5721627, 100.41058263 38.57218851, 100.41073095 38.57233303, 100.41085574 38.57245462, 100.41086823 38.57246775, 100.41099878 38.572605, 100.41108883 38.57269968, 100.41114696 38.57275334, 100.41144055 38.57257955, 100.41164755 38.57245702, 100.41163075 38.57222715, 100.41162019 38.57208269, 100.41162091 38.57201444, 100.41162274 38.57184099, 100.41157291 38.57162137))",156
"Polygon ((100.4081629 38.57234862, 100.40815214 38.57233436, 100.40809065 38.57237999, 100.40790726 38.57250327, 100.40789068 38.57251372, 100.4076195 38.57268473, 100.40769489 38.57277538, 100.40770736 38.5727959, 100.40787356 38.57270578, 100.40798598 38.57263592, 100.40812073 38.57255218, 100.40820939 38.57249106, 100.40827267 38.57246918, 100.40827175 38.57245027, 100.40825012 38.5724, 100.40820085 38.57236437, 100.4081629 38.57234862))",157
"Polygon ((100.42343331 38.57224315, 100.4233755 38.5722363, 100.42331499 38.57230119, 100.4232225 38.57241385, 100.42310673 38.57251631, 100.42315615 38.57255957, 100.42320429 38.57259902, 100.42326048 38.5726155, 100.42332106 38.57254707, 100.42342577 38.57243807, 100.42356147 38.57227591, 100.42354477 38.57226038, 100.42343331 38.57224315))",158
"Polygon ((100.40462979 38.57137741, 100.404544 38.57136843, 100.40448628 38.57138921, 100.40445939 38.57142163, 100.40434549 38.57155896, 100.40419546 38.57169624, 100.40405199 38.57182751, 100.40394287 38.57194105, 100.40382584 38.57206283, 100.40364909 38.57221558, 100.40370638 38.57228925, 100.4036707 38.57232781, 100.40383235 38.57252226, 100.40400854 38.57271462, 100.40402474 38.57273317, 100.40409645 38.57281526, 100.40417676 38.57290719, 100.40423053 38.57288, 100.4046794 38.57263867, 100.40515127 38.57236273, 100.40536566 38.57225067, 100.40521495 38.57205535, 100.40520889 38.57204818, 100.40504155 38.57185009, 100.40503018 38.57183731, 100.4048665 38.57165342, 100.40484361 38.57160079, 100.40473323 38.57148547, 100.40462979 38.57137741))",159
"Polygon ((100.41383872 38.57265592, 100.41386858 38.57259037, 100.41377959 38.57261278, 100.41371425 38.57262501, 100.41361656 38.57259759, 100.41357622 38.57252181, 100.41358052 38.57249316, 100.4136596 38.57256275, 100.41372789 38.57257718, 100.41388064 38.5725639, 100.41412379 38.57233025, 100.41418987 38.57223221, 100.41415737 38.57218494, 100.41398351 38.57223661, 100.41379034 38.57229424, 100.41369796 38.57228964, 100.41362037 38.57229629, 100.4135191 38.57233374, 100.41349545 38.57236644, 100.41337946 38.57239644, 100.41329691 38.57239744, 100.41326056 38.57240169, 100.41334091 38.5725361, 100.41344104 38.57269386, 100.41345619 38.57271774, 100.41354282 38.57280059, 100.41364712 38.57279361, 100.41383872 38.57265592))",160
"Polygon ((100.4299401 38.57220854, 100.42986393 38.57213368, 100.42979413 38.5721045, 100.42974832 38.57209076, 100.42961603 38.57212527, 100.42958479 38.57211135, 100.42950979 38.57209511, 100.42943251 38.57205601, 100.42940795 38.57201198, 100.42938001 38.57198086, 100.42916258 38.57185482, 100.42905653 38.57183467, 100.42896753 38.57175567, 100.42889595 38.57173899, 100.42881015 38.57171899, 100.42873086 38.57172151, 100.42866452 38.57172362, 100.42857517 38.57171899, 100.4284782 38.5716973, 100.42843005 38.5716919, 100.42827421 38.57167442, 100.42824818 38.5716715, 100.42811911 38.57168452, 100.42807879 38.57167214, 100.42798799 38.57168612, 100.42792492 38.57162826, 100.42772716 38.57157633, 100.42750053 38.57153763, 100.42738207 38.57153478, 100.42779529 38.57179715, 100.42780832 38.57180594, 100.42795828 38.57190712, 100.42799098 38.57192918, 100.42807415 38.57198966, 100.42821163 38.57212526, 100.42827153 38.57211452, 100.42834784 38.57210501, 100.4283659 38.57208301, 100.42842966 38.57200534, 100.42846378 38.57198492, 100.42855878 38.57192806, 100.42858088 38.57191483, 100.4286138 38.57192158, 100.42883979 38.57211187, 100.42886728 38.57212011, 100.42897959 38.57220559, 100.42898934 38.572213, 100.42901939 38.5722584, 100.42904069 38.57232249, 100.42910915 38.57237599, 100.42921884 38.5723961, 100.42927638 38.57235822, 100.42943176 38.57220188, 100.42956867 38.57230889, 100.42972336 38.57248575, 100.4300338 38.57261637, 100.42982391 38.57232007, 100.4299401 38.57220854))",161
"Polygon ((100.42370251 38.57231566, 100.42361607 38.57227381, 100.42358993 38.57227482, 100.4234777 38.57242314, 100.42327882 38.57262195, 100.42328675 38.57265426, 100.42335319 38.57269826, 100.42338909 38.57267113, 100.4235632 38.57250981, 100.42372301 38.57234663, 100.42370251 38.57231566))",162
"Polygon ((100.41698975 38.57248123, 100.41699674 38.57247544, 100.41722633 38.57265382, 100.41728224 38.57261115, 100.41745806 38.57246341, 100.41744783 38.57240633, 100.41729014 38.57226095, 100.41727345 38.5722458, 100.41713621 38.57212125, 100.41712525 38.57211252, 100.41701408 38.57202405, 100.41685286 38.57188444, 100.41680753 38.571895, 100.41643952 38.57226267, 100.41642964 38.57227319, 100.41657813 38.57239088, 100.41669385 38.572486, 100.41682955 38.57259399, 100.41684209 38.5726141, 100.41704118 38.57278091, 100.41707436 38.57276978, 100.4172106 38.57266582, 100.41709892 38.57257509, 100.41698975 38.57248123))",163
"Polygon ((100.40211821 38.57167551, 100.40196975 38.57144134, 100.40195535 38.57145009, 100.40168696 38.57169927, 100.40143309 38.5719454, 100.40232139 38.57294434, 100.40234747 38.57297406, 100.40272119 38.57261494, 100.40241133 38.57213674, 100.40211821 38.57167551))",164
"Polygon ((100.43089549 38.57257427, 100.43090326 38.57251842, 100.43091842 38.57256702, 100.43096307 38.57258041, 100.43100032 38.57257856, 100.43102706 38.572575, 100.43106938 38.57256936, 100.4312604 38.57253357, 100.43141058 38.57249689, 100.43148755 38.57243881, 100.43145665 38.57240295, 100.43139403 38.57237862, 100.43128529 38.57235626, 100.43124649 38.57236928, 100.43123772 38.57236489, 100.43115683 38.57232438, 100.43102987 38.57227855, 100.43101016 38.57226903, 100.43090846 38.57224379, 100.43081209 38.57221849, 100.43081101 38.57229775, 100.43079755 38.57229114, 100.43075112 38.57236697, 100.43071204 38.57245526, 100.43060978 38.57258055, 100.4306194 38.57261806, 100.43065007 38.57264278, 100.43068429 38.57266744, 100.43074772 38.57264297, 100.43083564 38.57260009, 100.43089549 38.57257427))",165
"Polygon ((100.42062513 38.57236662, 100.4208515 38.57220657, 100.4208873 38.57217468, 100.42076863 38.57206839, 100.42062937 38.57196522, 100.42048803 38.57206417, 100.42047478 38.57207005, 100.42044649 38.57203528, 100.42041256 38.57199359, 100.42035931 38.57194085, 100.42034543 38.57193142, 100.42029038 38.57189402, 100.4202045 38.5718493, 100.42010918 38.571819, 100.42002352 38.57178572, 100.41998698 38.57178044, 100.41995805 38.57179128, 100.41989478 38.57172341, 100.4198349 38.57170411, 100.41980931 38.57169966, 100.41971121 38.57165128, 100.41966806 38.57161843, 100.41962249 38.57158562, 100.41959912 38.57157065, 100.41959096 38.57156209, 100.41954704 38.57151599, 100.41953949 38.57150135, 100.41953189 38.57148662, 100.41944571 38.57142665, 100.41937921 38.57137979, 100.41938102 38.57134831, 100.41935227 38.57130671, 100.41929819 38.571274, 100.41925036 38.57124637, 100.41923678 38.57123852, 100.41918009 38.57119631, 100.4191146 38.57115888, 100.41904102 38.57106063, 100.41900758 38.57104505, 100.41900688 38.57103348, 100.4189687 38.5710063, 100.41893687 38.57099334, 100.41890284 38.57099184, 100.41887247 38.57099126, 100.41883185 38.57096366, 100.41879869 38.57094476, 100.41874028 38.57093832, 100.41868371 38.57093328, 100.41862673 38.57095328, 100.41858394 38.57100027, 100.41857213 38.57104832, 100.41859546 38.57107663, 100.41863351 38.57111264, 100.4186438 38.57112457, 100.41865121 38.57113316, 100.41866573 38.5711766, 100.4186992 38.57121123, 100.41873035 38.57122086, 100.41867983 38.57124507, 100.41865544 38.57125537, 100.41864964 38.57133123, 100.4186139 38.57136598, 100.41861543 38.57139742, 100.41862605 38.57142804, 100.41866191 38.57144548, 100.41867596 38.57146533, 100.41873493 38.57149965, 100.41876077 38.57151721, 100.41877166 38.57156141, 100.41879074 38.57160551, 100.41883129 38.5716758, 100.4188379 38.57168694, 100.4188473 38.57170278, 100.41891451 38.57178562, 100.41895344 38.57182018, 100.4189547 38.57188451, 100.41897736 38.57192499, 100.41899802 38.57195692, 100.4190088 38.5719954, 100.41905177 38.57204993, 100.41907481 38.57206395, 100.41908175 38.57207284, 100.41911406 38.57211424, 100.41915128 38.57215454, 100.41918377 38.57218561, 100.41921849 38.57221935, 100.41923391 38.57223433, 100.41931177 38.57230346, 100.41936223 38.57232215, 100.41942124 38.57231214, 100.41943026 38.57230774, 100.41944466 38.57231531, 100.41952597 38.57235806, 100.41952025 38.57239174, 100.41961643 38.57246564, 100.41971104 38.57252956, 100.41972001 38.57256103, 100.41972456 38.57259911, 100.4197561 38.57262077, 100.41976221 38.57263076, 100.41978433 38.57266691, 100.4199441 38.57276328, 100.41999417 38.5728008, 100.4200192 38.57280011, 100.42032222 38.57258575, 100.42062513 38.57236662))",166
"Polygon ((100.4274898 38.57255384, 100.42740838 38.57254089, 100.42732985 38.57254583, 100.42723661 38.57257684, 100.42713787 38.57258601, 100.42720701 38.57261901, 100.42732393 38.57263153, 100.42738491 38.57263676, 100.42748982 38.57268327, 100.4275945 38.57271783, 100.4275863 38.57268806, 100.42753421 38.57261901, 100.4274898 38.57255384))",167
"Polygon ((100.40114958 38.56862986, 100.4010295 38.56842573, 100.40090942 38.56822161, 100.40080277 38.56812279, 100.40072496 38.56810227, 100.40065639 38.56808879, 100.40058786 38.56783511, 100.40025968 38.56734927, 100.40020409 38.56730084, 100.40004648 38.56739038, 100.39997077 38.56724352, 100.39991439 38.56715363, 100.39979601 38.56699775, 100.39973962 38.56690785, 100.39961535 38.56676158, 100.39942953 38.56651506, 100.39444889 38.56739548, 100.3944369 38.56741106, 100.3939171 38.5680822, 100.39347745 38.56865943, 100.39345894 38.5687263, 100.39341654 38.56873157, 100.39316122 38.56903014, 100.39279139 38.56945251, 100.39273945 38.56951183, 100.39257905 38.56969487, 100.39247236 38.56982961, 100.39218172 38.57018579, 100.39214604 38.57022435, 100.39223836 38.57028808, 100.39216643 38.5703366, 100.39210095 38.57040411, 100.3919594 38.5706203, 100.39175825 38.57089439, 100.39160502 38.57113454, 100.39170233 38.57114292, 100.39187984 38.57121707, 100.39208117 38.57126711, 100.39222787 38.5713178, 100.3925946 38.57144404, 100.39296165 38.57158625, 100.39314094 38.57167349, 100.39324634 38.57170799, 100.39329201 38.57171459, 100.3936018 38.57172163, 100.39370197 38.57172044, 100.39380682 38.57172634, 100.39400321 38.57175617, 100.39418111 38.57177193, 100.39430121 38.57178122, 100.39480826 38.57131282, 100.39486149 38.5712738, 100.39490861 38.57133982, 100.39505582 38.57129934, 100.39512383 38.57128363, 100.39517677 38.57127406, 100.39534583 38.57118565, 100.39556094 38.57132013, 100.39513177 38.57175526, 100.39514236 38.57176562, 100.39522744 38.57184802, 100.39529758 38.57194252, 100.39536587 38.57194171, 100.39556477 38.57202275, 100.39599703 38.57161243, 100.39657305 38.57196306, 100.39713211 38.57143801, 100.39760666 38.57096135, 100.39719937 38.57062301, 100.39710673 38.57054189, 100.39715601 38.57051129, 100.39758061 38.57088159, 100.39763844 38.57092857, 100.39784416 38.57077417, 100.39791332 38.57081804, 100.39806685 38.57071193, 100.39821946 38.57055817, 100.39833488 38.57044358, 100.39842368 38.57032634, 100.39856053 38.57014297, 100.39872055 38.56998019, 100.39880941 38.56986592, 100.39905489 38.56957043, 100.3990076 38.5695151, 100.39887835 38.56939022, 100.39882558 38.56933007, 100.39867244 38.56918529, 100.39865376 38.56917711, 100.39856593 38.56908693, 100.3984173 38.56893713, 100.39832188 38.56880671, 100.39829992 38.56880125, 100.39826807 38.56875587, 100.39831355 38.56873285, 100.39851865 38.56897708, 100.39876934 38.56922433, 100.39907564 38.56952097, 100.39912116 38.56952042, 100.39939614 38.56914176, 100.39969044 38.56882007, 100.39996183 38.56852248, 100.40001427 38.56856025, 100.40010447 38.56870505, 100.40023584 38.56886032, 100.40004965 38.5689414, 100.39993371 38.56906791, 100.39980446 38.56921246, 100.39972431 38.56930636, 100.39934552 38.56973274, 100.39900287 38.57014439, 100.39877595 38.5704188, 100.39854889 38.57068606, 100.39850636 38.57074285, 100.39848675 38.57076903, 100.39833928 38.57091379, 100.39797577 38.57118983, 100.39753192 38.57155241, 100.39794324 38.57188926, 100.39839551 38.57219845, 100.39890878 38.57259987, 100.39903178 38.57268062, 100.39886467 38.57283039, 100.39961504 38.57301208, 100.39982236 38.57305727, 100.39991268 38.57301805, 100.40029414 38.57257212, 100.40051826 38.57231011, 100.4008039 38.57201116, 100.40080013 38.57197307, 100.40095215 38.57182825, 100.401392 38.57149767, 100.4016074 38.57133421, 100.40185916 38.57116675, 100.40210161 38.57098867, 100.40219204 38.57095541, 100.40213007 38.57081315, 100.40212139 38.57079725, 100.40194592 38.57047574, 100.40157511 38.56967223, 100.40147892 38.56940884, 100.40138784 38.56917398, 100.40128772 38.5689428, 100.40114958 38.56862986))",168
"Polygon ((100.41182333 38.57231636, 100.41179019 38.57229817, 100.41176857 38.57231166, 100.41178874 38.57259742, 100.4117392 38.57267237, 100.41150483 38.57287815, 100.41154903 38.57291311, 100.41158021 38.57292418, 100.41165379 38.57286752, 100.41178264 38.57275014, 100.41188121 38.57266744, 100.41191133 38.57262418, 100.41191133 38.57253123, 100.41186208 38.57243458, 100.41182333 38.57231636))",169
"Polygon ((100.40182351 38.57244552, 100.40141188 38.57197855, 100.40133286 38.57203669, 100.40149121 38.57221784, 100.4018859 38.57265641, 100.40221905 38.57302135, 100.40225068 38.5730553, 100.402319 38.57300872, 100.40182351 38.57244552))",170
"Polygon ((100.41279771 38.57240507, 100.41277151 38.57223021, 100.41276178 38.57219815, 100.41273423 38.57218657, 100.41275263 38.57211842, 100.41274845 38.57206008, 100.41272543 38.57196979, 100.41271843 38.57195562, 100.41269382 38.57190583, 100.41265529 38.5718765, 100.41266688 38.57184776, 100.41264621 38.57181037, 100.41260883 38.5717622, 100.41257196 38.57173976, 100.41253145 38.57171737, 100.41250195 38.57169914, 100.41245443 38.57169113, 100.41243768 38.57167274, 100.41243328 38.57163419, 100.41240666 38.57157731, 100.41238543 38.57151607, 100.41235321 38.57145211, 100.41232732 38.57143241, 100.41228726 38.57143289, 100.41222534 38.57143364, 100.41218161 38.57143273, 100.41212062 38.57138771, 100.41200676 38.57134046, 100.41188772 38.57129858, 100.41187457 38.57130797, 100.41184225 38.57136317, 100.41186196 38.57151666, 100.41186884 38.57163574, 100.41185141 38.5719863, 100.41183952 38.57201803, 100.41183122 38.57204017, 100.41183031 38.57207116, 100.41182883 38.57210337, 100.41182605 38.57216416, 100.41185047 38.57220884, 100.41188494 38.57227189, 100.41191882 38.57233823, 100.4119579 38.57238066, 100.41200012 38.57239731, 100.41204083 38.57242971, 100.41209451 38.57247339, 100.41213892 38.5725086, 100.41221162 38.57250058, 100.41223297 38.57247458, 100.41224138 38.57243873, 100.4122337 38.5724188, 100.41221843 38.57238323, 100.41219964 38.57235343, 100.41218661 38.57233929, 100.41224401 38.57229426, 100.41229739 38.57222927, 100.41227537 38.57212801, 100.41228464 38.57204353, 100.4122559 38.57197094, 100.41225107 38.57196561, 100.41230308 38.57196179, 100.41232754 38.57218744, 100.41233196 38.57222742, 100.41230016 38.57227786, 100.41225942 38.57233698, 100.41226379 38.57237411, 100.41228072 38.57240107, 100.41233925 38.5723844, 100.41230634 38.57240744, 100.41228017 38.5724354, 100.41228897 38.57245054, 100.41227896 38.57249738, 100.4122201 38.5725305, 100.41222061 38.57255624, 100.41227014 38.57260521, 100.41228594 38.57260597, 100.41226311 38.57283505, 100.41237797 38.57293376, 100.41240568 38.57295345, 100.41244359 38.57293583, 100.41251352 38.57287922, 100.41261779 38.57282909, 100.41265521 38.57280242, 100.41270852 38.57273385, 100.41273194 38.57268948, 100.41274436 38.57262617, 100.41273854 38.57256189, 100.41271625 38.57250853, 100.41276306 38.57249605, 100.41279736 38.57246466, 100.41279771 38.57240507))",171
"Polygon ((100.42216607 38.57288341, 100.42219341 38.57273054, 100.4221957 38.57269238, 100.42216915 38.5726704, 100.422093 38.57262652, 100.4220146 38.5725922, 100.42195238 38.5725777, 100.42181742 38.57257092, 100.4218026 38.57261851, 100.42180088 38.57268526, 100.42186898 38.57275117, 100.42193636 38.57278133, 100.42197558 38.57276894, 100.42204101 38.57285394, 100.42211143 38.57288407, 100.42216607 38.57288341))",172
"Polygon ((100.41520245 38.57156835, 100.4151179 38.57148005, 100.41493559 38.57160482, 100.41482564 38.57171307, 100.41478071 38.57175731, 100.41463448 38.57191733, 100.41450654 38.57208095, 100.41446466 38.57211709, 100.41451883 38.57217006, 100.41455815 38.5722399, 100.41458263 38.57224973, 100.41462495 38.57227901, 100.41475031 38.57240202, 100.41476246 38.57241691, 100.41479698 38.57245925, 100.41488332 38.57252733, 100.41488627 38.57256185, 100.41500186 38.57265042, 100.41502455 38.57267251, 100.41514577 38.57279049, 100.41515942 38.57280567, 100.41520278 38.57285391, 100.4153111 38.57292791, 100.41537268 38.57297197, 100.41546009 38.57297092, 100.41559794 38.57294065, 100.41567695 38.57288249, 100.4157329 38.57282557, 100.41580395 38.57279516, 100.41586172 38.57270675, 100.41599549 38.57259264, 100.41611096 38.57248707, 100.41614342 38.57245739, 100.41619062 38.57238722, 100.41613519 38.57232438, 100.4161251 38.57231294, 100.41594221 38.57218288, 100.41592926 38.57217062, 100.41578185 38.57203105, 100.41577146 38.57202121, 100.41567117 38.57192304, 100.41558941 38.57188756, 100.41558539 38.57188522, 100.41539139 38.57177223, 100.41538857 38.57177059, 100.41524128 38.57164439, 100.41524007 38.57164201, 100.41520245 38.57156835))",173
