,0,1
6,100.41326895,38.56656166
6,100.41315095,38.56648872
6,100.41268205,38.56679577
6,100.41279907,38.56689999
6,100.41282468,38.56692173
6,100.41293335,38.56701396
6,100.41327501,38.56677657
6,100.41330912,38.56675287
6,100.41339287,38.56668894
6,100.41331825,38.56659927
6,100.41326895,38.56656166
7,100.40903297,38.56656698
7,100.40912301,38.56650428
7,100.40926837,38.56640839
7,100.4091236,38.56650592
7,100.40903297,38.56656698
7,100.40904135,38.56659046
7,100.40906272,38.5666157
7,100.4090958,38.56664626
7,100.40915692,38.56668742
7,100.40921297,38.56670678
7,100.4092697,38.56676073
7,100.40934525,38.56680111
7,100.40936322,38.56685046
7,100.40943056,38.56694117
7,100.40947921,38.56698134
7,100.40948981,38.56702697
7,100.40951958,38.56705903
7,100.40956086,38.56705853
7,100.40961412,38.56705026
7,100.4096582,38.5670688
7,100.40968965,38.5670627
7,100.4098636,38.56693357
7,100.4100505,38.56680991
7,100.41007638,38.56679278
7,100.41032059,38.56662896
7,100.41055144,38.5664808
7,100.41063297,38.56642427
7,100.4107596,38.56633648
7,100.41093325,38.56621284
7,100.41112359,38.56608899
7,100.41114276,38.566077
7,100.41124205,38.56601487
7,100.41140232,38.56590569
7,100.41153413,38.56581592
7,100.41176002,38.56564755
7,100.41184022,38.56555721
7,100.41184504,38.56553185
7,100.41181753,38.5652817
7,100.41181298,38.56513071
7,100.4118109,38.56506141
7,100.41179218,38.56491997
7,100.41176734,38.56473228
7,100.41176663,38.56470287
7,100.41176373,38.56458193
7,100.41176058,38.56445064
7,100.41173623,38.56433863
7,100.41090024,38.56448651
7,100.41094258,38.56452658
7,100.41101497,38.56459578
7,100.41110579,38.56467619
7,100.4110934,38.56469493
7,100.41105584,38.56469872
7,100.41099126,38.56462514
7,100.41092459,38.56456874
7,100.41083838,38.56450686
7,100.41083143,38.56449869
7,100.40990173,38.56466315
7,100.40989629,38.56467617
7,100.40986338,38.56473186
7,100.4098446,38.56478133
7,100.40978485,38.56493873
7,100.40973043,38.56501184
7,100.4097023,38.56506365
7,100.40969083,38.56509811
7,100.40963755,38.56517444
7,100.40963177,38.56518272
7,100.40961384,38.5652592
7,100.40960494,38.56530125
7,100.40958145,38.56534158
7,100.4095414,38.56540498
7,100.40952268,38.56544143
7,100.40950879,38.56547592
7,100.40947818,38.5655111
7,100.40950011,38.56552427
7,100.40953714,38.56554651
7,100.40972784,38.56551847
7,100.40997067,38.56547098
7,100.41005335,38.56546116
7,100.41022127,38.56541719
7,100.41032861,38.56537967
7,100.4103996,38.5653464
7,100.41053332,38.56529236
7,100.41074441,38.56515826
7,100.41077,38.56517856
7,100.41075387,38.56518722
7,100.41045009,38.56536248
7,100.41060003,38.56550129
7,100.41062677,38.56553257
7,100.41066259,38.56557449
7,100.41072107,38.56564291
7,100.41070165,38.56565507
7,100.4105496,38.56551699
7,100.41040668,38.56538
7,100.41036353,38.56540912
7,100.41020051,38.56545541
7,100.41014756,38.56553575
7,100.41010022,38.56553632
7,100.41006744,38.56553672
7,100.41000494,38.56550744
7,100.40999755,38.56550181
7,100.40955435,38.56557883
7,100.40953435,38.56556602
7,100.4094365,38.56566811
7,100.40938044,38.56564676
7,100.40935066,38.56571043
7,100.4093235,38.56581181
7,100.40928636,38.56589997
7,100.40924979,38.56597702
7,100.40921172,38.56605721
7,100.40917761,38.56617584
7,100.40915423,38.56621011
7,100.40910679,38.56627965
7,100.40903349,38.56638158
7,100.40900177,38.56649827
7,100.40900233,38.56652686
7,100.40903297,"38.56656698),(100.40967705 38.56569157"
7,100.40966627,38.5656796
7,100.4096785,38.56569075
7,100.40967705,38.56569157
8,100.41441279,38.5666293
8,100.41424072,38.56649267
8,100.41421212,38.56652018
8,100.41402842,38.56664801
8,100.41381804,38.56678713
8,100.413809,38.56679444
8,100.41369761,38.56688439
8,100.41390606,38.56706538
8,100.41401826,38.5669818
8,100.41424292,38.56682775
8,100.41446392,38.56667221
8,100.41441279,38.5666293
9,100.41455724,38.56675053
9,100.4144834,38.56668856
9,100.4142989,38.56681873
9,100.41409528,38.5669618
9,100.41404317,38.56700482
9,100.41394293,38.56708758
9,100.41403411,38.56717109
9,100.41414134,38.56709429
9,100.41458624,38.56677564
9,100.41455724,38.56675053
10,100.41362502,38.56688633
10,100.41343074,38.56670088
10,100.41329547,38.56679975
10,100.41295542,38.56703533
10,100.41305249,38.56712931
10,100.41313422,38.56719505
10,100.41314492,38.56720792
10,100.41334856,38.56709273
10,100.41349069,38.56697185
10,100.41362502,38.56688633
11,100.41465173,38.56683233
11,100.41461167,38.56679765
11,100.41439999,38.56694263
11,100.41420927,38.56707309
11,100.41404352,38.56718646
11,100.41415162,38.56728049
11,100.41431284,38.56718329
11,100.41445014,38.56710052
11,100.41472845,38.56693736
11,100.41471544,38.56692308
11,100.41465173,38.56683233
12,100.41208631,38.5669016
12,100.41204847,38.56682937
12,100.41174706,38.56701731
12,100.41173678,38.56702347
12,100.41146141,38.56718855
12,100.41159699,38.5673153
12,100.41185947,38.56715359
12,100.41208433,38.56701936
12,100.41208631,38.5669016
13,100.41385044,38.56708905
13,100.41365721,38.56691026
13,100.41345933,38.56703658
13,100.41326944,38.56717965
13,100.41317842,38.56724824
13,100.41319795,38.56727174
13,100.41336796,38.56742699
13,100.41338061,38.56743772
13,100.41348414,38.5673674
13,100.41368587,38.56723037
13,100.41369823,38.56722197
13,100.41385044,38.56708905
14,100.4120835,38.56706847
14,100.41208401,38.56703843
14,100.41190992,38.56714213
14,100.41156937,38.56734643
14,100.41148721,38.56741416
14,100.41161243,38.56753062
14,100.41178244,38.5674535
14,100.41211869,38.5672555
14,100.4120835,38.56706847
15,100.41154112,38.56729911
15,100.41142923,38.56720735
15,100.41115167,38.5673696
15,100.41106523,38.56742022
15,100.41108909,38.56746901
15,100.41112028,38.56751153
15,100.41118777,38.56754766
15,100.41124497,38.56752314
15,100.41136193,38.56745023
15,100.41148943,38.56737242
15,100.41155368,38.56732041
15,100.41154112,38.56729911
16,100.41085141,38.56753539
16,100.41073306,38.56747333
16,100.41065705,38.56738986
16,100.41068756,38.56737215
16,100.41069956,38.56739032
16,100.41075236,38.56745165
16,100.41078495,38.5674362
16,100.41079175,38.5674476
16,100.41081995,38.56749255
16,100.4108726,38.56751857
16,100.41093525,38.56749303
16,100.4110356,38.56740888
16,100.41110147,38.56736232
16,100.41133451,38.56723272
16,100.4115253,38.56711602
16,100.41178681,38.56695271
16,100.41185451,38.56691097
16,100.41192719,38.56686617
16,100.41203363,38.5667829
16,100.41202035,38.56660097
16,100.41201187,38.56651282
16,100.41199901,38.5663791
16,100.41196687,38.56629708
16,100.41195811,38.56627473
16,100.41194164,38.56617769
16,100.4119352,38.56611064
16,100.41191877,38.56593963
16,100.4119092,38.5658807
16,100.41188943,38.56575885
16,100.41185883,38.5655912
16,100.4114371,38.56591327
16,100.41142314,38.56592213
16,100.41117474,38.56607969
16,100.41102346,38.56617687
16,100.41092141,38.56624243
16,100.41064443,38.56643762
16,100.41062881,38.56644924
16,100.41047986,38.56655996
16,100.41029981,38.566667
16,100.41003009,38.56684542
16,100.40993712,38.56690738
16,100.41001948,38.56699812
16,100.41006125,38.56703813
16,100.41008132,38.56705576
16,100.41010717,38.56705784
16,100.41012762,38.56709453
16,100.41017036,38.56710713
16,100.41018136,38.56710817
16,100.41020594,38.56714125
16,100.41024007,38.56717898
16,100.41027035,38.56717504
16,100.41026374,38.56722517
16,100.41032528,38.56726732
16,100.41036994,38.56730015
16,100.41041499,38.56735323
16,100.41042896,38.56736654
16,100.41058049,38.56751092
16,100.41060514,38.56752969
16,100.41061765,38.56752757
16,100.41065323,38.56758274
16,100.41068017,38.56761336
16,100.41081043,38.56756794
16,100.41085141,38.56753539
17,100.40320491,38.56589763
17,100.40317024,38.56585367
17,100.39976447,38.56645584
17,100.39983171,38.56653211
17,100.3998541,38.56655751
17,100.40030702,38.56721338
17,100.40066621,38.5677335
17,100.40072807,38.56779234
17,100.40087084,38.56771913
17,100.4014025,38.56734931
17,100.40200352,38.56700721
17,100.40224563,38.56683386
17,100.40275041,38.56656565
17,100.40315983,38.56638914
17,100.40349098,38.56624693
17,100.40340994,38.56613827
17,100.40320491,38.56589763
18,100.41160197,38.56777146
18,100.41215639,38.56745593
18,100.4121289,38.56730981
18,100.41205146,38.56731678
18,100.41186245,38.56743108
18,100.41161238,38.56756722
18,100.41159444,38.56754156
18,100.41145399,38.5674229
18,100.4112156,38.56757354
18,100.41137456,38.56770747
18,100.41152728,38.56783314
18,100.41160197,38.56777146
19,100.41000935,38.56702327
19,100.40991172,38.56692431
19,100.40977364,38.5670267
19,100.40975163,38.56704302
19,100.40964711,38.56713127
19,100.40961587,38.56716382
19,100.40971679,38.56727939
19,100.40973482,38.56730743
19,100.40977001,38.56736216
19,100.409864,38.56743372
19,100.40986908,38.56744099
19,100.40993583,38.56753653
19,100.40998113,38.56760346
19,100.41000304,38.56763582
19,100.41005155,38.56771031
19,100.41008988,38.56773011
19,100.41010041,38.56774816
19,100.41013543,38.56780821
